证券代码,日期,收入熵指标
#002049,2012,3.334039381960042
#002050,2009,3.4699256475108573
#002050,2010,3.456643318649426
#002050,2011,3.589803047304142
#002050,2012,3.6488921108805563
#002064,2012,3.607877483492228
#002064,2013,3.609814631937339
#002064,2014,
#002064,2017,
#002070,2008,3.4079319205386582
#002070,2011,3.30968980395749
#002076,2012,3.9834659476536007
#002076,2013,3.9993122929131797
#002076,2014,
#002076,2015,
#002076,2016,
#002076,2017,
#002078,2012,3.8188071996275856
#002078,2013,3.8343702354208737
#002078,2014,
#002078,2015,
#002078,2016,
#002078,2017,
#002082,2008,2.606894981187965
#002082,2009,2.9696853809694552
#002082,2010,2.973182024466685
#002082,2011,3.037608920956093
#002082,2012,3.0303196588081294
#002082,2013,3.0242727037684034
#002082,2014,
#002082,2015,3.068281701682699
#002085,2009,3.1684694480633238
#002085,2010,3.2684013282126116
#002085,2011,3.5703619246260767
#002085,2012,3.722839315040623
#002085,2013,3.7476936550240185
#002085,2014,
#002085,2015,3.3550160946665573
#002085,2016,3.3543580415514196
#002085,2017,
#002097,2012,3.8808081028166845
#002097,2013,3.9213269567072855
#002097,2014,
#002097,2016,
#002097,2017,
#002099,2008,2.886014770165885
#002102,2008,3.2381464561358104
#002102,2010,3.2948805687542544
#002102,2011,3.4585711145195877
#002104,2016,3.206325606260444
#002104,2017,
#002105,2010,3.7518295584072683
#002105,2012,3.740781706019406
#002105,2013,4.068474184230749
#002105,2014,
#002111,2008,2.8622222164299065
#002111,2009,2.8910958968967977
#002111,2010,2.945537017587513
#002111,2011,2.965104627293888
#002111,2012,3.8169123902183832
#002111,2013,3.2050487009739577
#002111,2014,
#002132,2013,3.7740233875173717
#002132,2014,
#002132,2015,
#002133,2009,3.225962229569129
#002133,2010,3.324142024174564
#002133,2011,3.184999693995798
#002133,2012,3.1395989340743418
#002133,2013,3.0995788466797958
#002156,2008,2.49436022123993
#002156,2012,3.673564066152328
#002156,2013,3.6646627227894975
#002156,2014,
#002156,2016,3.0904268731791125
#002156,2017,
#002165,2008,2.845914064793961
#002165,2012,3.7749335472465466
